year,title,difficulty
1857,"Dred Scott v. Sandford",-1
1880,"Strauder v. West Virginia"
1886,"Yick Wo v. Hopkins"
1896,"Plessy v. Ferguson",-1
1938,"Missouri ex rel. Gaines v. Canada"
1944,"Smith v. Allwright"
1944,"Steele v. Louisville & Nashville Railway Co."
1944,"Korematsu v. United States",-1
1946,"Morgan v. Virginia"
1948,"Shelley v. Kraemer"
1950,"Henderson v. United States"
1954,"Hernandez v. Texas"
1954,"Brown v. Board of Education",-1
1954,"Bolling v. Sharpe"
1960,"Gomillion v. Lightfoot"
1960,"Boynton v. Virginia"
1961,"Garner v. Louisiana"
1964,"Heart of Atlanta Motel, Inc. v. United States"
1967,"Loving v. Virginia",-1
1971,"Swann v. Charlotte-Mecklenburg Board of Education"
1978,"Regents of the University of California v. Bakke"
1986,"Batson v. Kentucky"
1995,"Adarand Constructors, Inc. v. Peña"
2003,"Grutter v. Bollinger"
2014,"Schuette v. Coalition to Defend Affirmative Action"
1908,"Muller v. Oregon"
1942,"Glasser v. United States"
1971,"Phillips v. Martin Marietta Corp."
1971,"Reed v. Reed"
1972,"Stanley v. Illinois"
1973,"Frontiero v. Richardson"
1975,"Taylor v. Louisiana"
1976,"Craig v. Boren"
1982,"Mississippi University for Women v. Hogan"
1989,"Price Waterhouse v. Hopkins"
1994,"J.E.B. v. Alabama ex rel. T.B."
1996,"United States v. Virginia"
1998,"Oncale v. Sundowner Offshore Services"
2006,"Burlington Northern & Santa Fe Railway Co. v. White"
1958,"One, Inc. v. Olesen"
1986,"Bowers v. Hardwick"
1996,"Romer v. Evans"
2003,"Lawrence v. Texas"
2013,"United States v. Windsor"
2015,"Obergefell v. Hodges",-1
2020,"Bostock v. Clayton County"
1964,"Heart of Atlanta Motel, Inc. v. United States"
1964,"Katzenbach v. McClung"
1966,"South Carolina v. Katzenbach"
1966,"Katzenbach v. Morgan"
1968,"Jones v. Alfred H. Mayer Co."
1997,"City of Boerne v. Flores"
2013,"Shelby County v. Holder"
1961,"Monroe v. Pape"
1967,"Pierson v. Ray"
1978,"Stump v. Sparkman"
1978,"Monell v. Department of Social Services of the City of New York"
1989,"Will v. Michigan Department of State Police"
1965,"Griswold v. Connecticut",-1
1972,"Eisenstadt v. Baird"
1973,"Roe v. Wade",-1
1977,"Carey v. Population Services International"
1992,"Planned Parenthood v. Casey",-1
2000,"Stenberg v. Carhart"
2007,"Gonzales v. Carhart"
2014,"Burwell v. Hobby Lobby Stores, Inc."
2016,"Whole Woman's Health v. Hellerstedt"
2022,"Dobbs v. Jackson Women's Health Organization",-1
1990,"Cruzan v. Director, Missouri Department of Health"
1997,"Washington v. Glucksberg"
1997,"Vacco v. Quill"
2006,"Gonzales v. Oregon"
1898,"United States v. Wong Kim Ark"
1967,"Afroyim v. Rusk"
1868,"Crandall v. Nevada"
1920,"United States v. Wheeler"
1941,"Edwards v. California"
1958,"Kent v. Dulles"
1964,"Aptheker v. Secretary of State"
1966,"United States v. Guest"
1969,"Shapiro v. Thompson"
1999,"Saenz v. Roe"
1972,"Jackson v. Indiana"
1975,"O'Connor v. Donaldson"
1979,"Addington v. Texas"
1982,"Youngberg v. Romeo"
1902,"Compagnie Francaise de Navigation a Vapeur v. Louisiana Board of Health"
1905,"Jacobson v. Massachusetts"
1922,"Zucht v. King"
1944,"Prince v. Massachusetts"
1927,"Buck v. Bell"
1866,"Ex parte Milligan"
1957,"Reid v. Covert"
1914,"Weeks v. United States"
1920,"Silverthorne Lumber Co. v. United States"
1961,"Mapp v. Ohio"
1966,"Schmerber v. California"
1967,"Katz v. United States"
1968,"Terry v. Ohio"
1968,"Mancusi v. DeForte"
1971,"Bivens v. Six Unknown Named Agents"
1972,"United States v. United States District Court for the Eastern District of Michigan"
1983,"Illinois v. Gates"
1985,"New Jersey v. T. L. O."
1987,"O'Connor v. Ortega"
1995,"Vernonia School District 47J v. Acton"
1996,"Ohio v. Robinette"
2002,"Board of Education v. Earls"
2006,"Georgia v. Randolph"
2012,"United States v. Jones"
2014,"Riley v. California"
2018,"Carpenter v. United States"
1932,"Powell v. Alabama"
1942,"Glasser v. United States"
1942,"Betts v. Brady"
1963,"Gideon v. Wainwright"
1964,"Escobedo v. Illinois"
1966,"Miranda v. Arizona"
1967,"In re Gault"
1986,"Michigan v. Jackson"
2009,"Montejo v. Louisiana"
1984,"Strickland v. Washington"
2010,"Padilla v. Kentucky"
2010,"Berghuis v. Thompkins"
2013,"Salinas v. Texas"
1960,"Dusky v. United States"
1986,"Ford v. Wainwright"
1993,"Godinez v. Moran"
2003,"Sell v. United States"
2020,"Kahler v. Kansas"
2004,"Rasul v. Bush"
2004,"Hamdi v. Rumsfeld"
2006,"Hamdan v. Rumsfeld"
2008,"Boumediene v. Bush"
1947,"Louisiana ex rel. Francis v. Resweber"
1972,"Furman v. Georgia"
1976,"Gregg v. Georgia"
1976,"Proffitt v. Florida"
1976,"Jurek v. Texas"
1976,"Woodson v. North Carolina"
1976,"Roberts v. Louisiana"
1977,"Coker v. Georgia"
1982,"Enmund v. Florida"
1986,"Ford v. Wainwright"
1987,"Tison v. Arizona"
1987,"McCleskey v. Kemp"
1998,"Breard v. Greene"
2002,"Atkins v. Virginia"
2005,"Roper v. Simmons"
